Feature,Importance
num__duration,393
num__euribor3m,348
num__campaign,305
num__age,159
num__emp.var.rate,84
cat__education_university.degree,80
num__cons.price.idx,75
num__cons.conf.idx,72
cat__day_of_week_fri,71
cat__day_of_week_mon,69
cat__day_of_week_thu,57
cat__job_admin.,56
cat__contact_cellular,56
cat__day_of_week_tue,52
cat__default_no,51
cat__marital_married,50
num__nr.employed,48
cat__job_technician,47
cat__loan_no,46
cat__day_of_week_wed,46
cat__job_blue-collar,43
cat__month_may,43
num__pdays,39
cat__marital_divorced,38
cat__poutcome_failure,37
cat__housing_yes,35
cat__education_basic.9y,35
cat__education_high.school,34
cat__marital_single,31
cat__education_basic.6y,31
cat__education_professional.course,31
cat__job_retired,28
cat__housing_no,28
cat__job_student,28
cat__job_services,27
cat__month_nov,25
cat__month_apr,25
cat__education_basic.4y,24
cat__month_oct,23
cat__month_mar,21
cat__job_management,19
cat__job_self-employed,19
cat__month_jun,18
cat__poutcome_success,18
cat__loan_yes,18
cat__month_jul,18
num__previous,16
cat__education_unknown,16
cat__month_aug,15
cat__job_entrepreneur,14
cat__month_sep,11
cat__job_unemployed,11
cat__job_housemaid,4
cat__job_unknown,3
cat__housing_unknown,3
cat__month_dec,3
cat__marital_unknown,1
cat__poutcome_nonexistent,1
cat__default_unknown,1
cat__education_illiterate,0
cat__contact_telephone,0
cat__default_yes,0
cat__loan_unknown,0
